127.0.0.1, 2013-10-06 21:12:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/default/ticket/swaraa/127.0.0.1.2013-10-06.21-12-44.519ea759-fab3-4e7e-83dc-3188d3ac0380, HTTP/1.1, 200, 0.203731
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.031399
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.030863
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.032208
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001756
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000891
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001552
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000866
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.002825
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001293
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000499
127.0.0.1, 2013-10-06 21:12:47, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000457
127.0.0.1, 2013-10-06 21:12:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000290
127.0.0.1, 2013-10-06 21:12:48, GET, /admin/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000538
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/default/index, HTTP/1.1, 303, 0.005044
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/default/site, HTTP/1.1, 200, 0.060388
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000456
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.002188
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000422
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000673
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.001258
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.004178
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000431
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000792
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000989
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001838
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001875
127.0.0.1, 2013-10-06 21:14:27, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000366
127.0.0.1, 2013-10-06 21:14:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2013-10-06 21:14:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2013-10-06 21:14:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2013-10-06 21:14:33, GET, /admin/default/design/swaraa, HTTP/1.1, 200, 0.206741
127.0.0.1, 2013-10-06 21:14:33, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000543
127.0.0.1, 2013-10-06 21:14:33, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000378
127.0.0.1, 2013-10-06 21:14:33, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000548
127.0.0.1, 2013-10-06 21:14:33, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000343
127.0.0.1, 2013-10-06 21:14:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000367
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/appadmin/index, HTTP/1.1, 200, 0.065707
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000693
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/css/calendar.css, HTTP/1.1, 304, 0.000971
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/calendar.js, HTTP/1.1, 304, 0.003006
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/web2py.js, HTTP/1.1, 304, 0.003120
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001214
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/jquery.js, HTTP/1.1, 304, 0.001987
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001017
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000713
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/css/web2py.css, HTTP/1.1, 304, 0.008943
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000414
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/js/share.js, HTTP/1.1, 304, 0.000276
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/images/twitter.png, HTTP/1.1, 304, 0.000320
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/images/facebook.png, HTTP/1.1, 304, 0.000331
127.0.0.1, 2013-10-06 21:14:35, GET, /swaraa/static/images/gplus-32.png, HTTP/1.1, 304, 0.000360
127.0.0.1, 2013-10-06 21:14:44, GET, /swaraa/appadmin/insert/db/song, HTTP/1.1, 200, 0.070774
127.0.0.1, 2013-10-06 21:14:47, GET, /swaraa/appadmin/index, HTTP/1.1, 200, 0.242837
127.0.0.1, 2013-10-06 21:14:49, GET, /swaraa/appadmin/select/db, HTTP/1.1, 200, 0.065887
127.0.0.1, 2013-10-06 21:15:02, GET, /swaraa/appadmin/update/db/song/5, HTTP/1.1, 200, 0.081759
127.0.0.1, 2013-10-06 21:15:09, GET, /swaraa/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000497
127.0.0.1, 2013-10-06 21:15:12, GET, /swaraa/default/user/profile, HTTP/1.1, 404, 0.087904
127.0.0.1, 2013-10-06 21:15:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2013-10-06 21:15:15, GET, /swaraa/appadmin/update/db/song/5, HTTP/1.1, 200, 0.069323
127.0.0.1, 2013-10-06 21:15:17, GET, /swaraa/default/user/logout, HTTP/1.1, 303, 0.268278
127.0.0.1, 2013-10-06 21:15:17, GET, /swaraa/default/index, HTTP/1.1, 200, 0.061488
127.0.0.1, 2013-10-06 21:15:19, GET, /swaraa/default/user/login, HTTP/1.1, 200, 0.068643
127.0.0.1, 2013-10-06 21:15:21, GET, /swaraa/default/user/register, HTTP/1.1, 200, 0.107391
127.0.0.1, 2013-10-06 21:16:45, POST, /swaraa/default/user/register, HTTP/1.1, 303, 0.467074
127.0.0.1, 2013-10-06 21:16:45, GET, /swaraa/default/homepage, HTTP/1.1, 500, 0.176189
127.0.0.1, 2013-10-06 21:16:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/default/ticket/swaraa/127.0.0.1.2013-10-06.21-16-45.5b0436bd-4056-470a-913c-652057f2821f, HTTP/1.1, 200, 0.181719
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000905
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000521
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000334
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000661
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001416
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002624
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001708
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001946
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001367
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000302
127.0.0.1, 2013-10-06 21:16:47, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000308
127.0.0.1, 2013-10-06 21:16:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000737
127.0.0.1, 2013-10-06 21:17:14, GET, /admin/default/index, HTTP/1.1, 303, 0.004652
127.0.0.1, 2013-10-06 21:17:14, GET, /admin/default/site, HTTP/1.1, 200, 0.044463
127.0.0.1, 2013-10-06 21:17:14, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000324
127.0.0.1, 2013-10-06 21:17:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2013-10-06 21:17:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
127.0.0.1, 2013-10-06 21:17:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000699
